interval_id,p01i,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby,next_p01i
407,0.0,35.96,35.96,100.0,0.0,0.0,29.75,1007.8,4.0,0.02
566,0.01,44.06,37.94,78.91,170.0,10.0,29.73,1007.2,7.0,0.03
567,0.03,42.98,39.02,85.79,160.0,12.0,29.71,1006.4,7.0,0.05
568,0.05,42.98,39.92,88.85,150.0,9.0,29.69,1005.9,7.0,0.07
569,0.07,42.98,39.92,88.85,160.0,9.0,29.67,1005.2,6.0,0.07
570,0.07,44.06,41.0,88.9,160.0,11.0,29.65,1004.5,7.0,0.07
571,0.07,46.04,42.08,85.97,170.0,15.0,29.62,1003.3,9.0,0.05
572,0.05,46.94,42.98,86.02,170.0,13.0,29.59,1002.3,9.0,0.02
577,0.0,51.98,46.94,82.87,170.0,7.0,29.38,995.1,10.0,0.02
578,0.02,51.98,48.02,86.3,160.0,5.0,29.34,993.8,10.0,0.04
579,0.04,55.04,50.0,83.08,170.0,16.0,29.28,991.7,10.0,0.03
580,0.03,55.04,50.0,83.08,170.0,12.0,29.24,990.4,10.0,0.09
581,0.09,53.96,51.08,89.95,220.0,6.0,29.19,988.7,10.0,0.12
582,0.12,51.98,51.08,96.73,160.0,7.0,29.19,988.6,3.0,0.08
583,0.08,53.06,51.08,92.96,160.0,10.0,29.15,987.1,9.0,0.02
584,0.02,53.96,51.08,89.95,180.0,6.0,29.12,986.3,10.0,0.08
585,0.08,51.08,48.92,92.28,270.0,10.0,29.14,987.0,4.0,0.02
651,0.0,28.04,26.06,92.16,220.0,6.0,29.92,1014.0,2.0,0.02
653,0.01,24.98,23.0,92.05,270.0,3.0,29.88,1012.7,1.75,0.02
793,0.01,24.98,23.0,92.05,0.0,0.0,30.0,1016.7,2.0,0.02
804,0.01,28.94,24.98,84.93,290.0,4.0,30.09,1019.6,0.5,0.02
1144,0.0,30.02,28.04,92.23,270.0,12.0,29.5,999.8,0.25,0.03
1145,0.03,30.02,28.04,92.23,300.0,8.0,29.52,1000.3,0.25,0.02
1265,0.0,30.92,28.04,88.92,90.0,9.0,29.75,1008.1,10.0,0.03
1266,0.03,30.92,28.94,92.26,110.0,8.0,29.75,1008.1,1.0,0.02
1268,0.0,33.08,30.92,91.66,120.0,10.0,29.71,1006.9,6.0,0.04
1271,0.01,33.08,32.0,95.75,140.0,7.0,29.68,1005.8,2.0,0.02
1346,0.01,24.98,23.0,92.05,300.0,11.0,29.27,992.0,0.25,0.03
1347,0.03,24.845,23.0,92.5675,295.0,15.25,29.265,991.7,0.1525,0.02
1348,0.02,24.98,23.0,92.05,300.0,15.0,29.26,991.6,0.25,0.02
1357,0.01,28.58,26.42,91.51333333333332,273.3333333333333,9.0,29.383333333333336,995.9,0.5,0.03
1358,0.03,28.535,26.690000000000005,92.6925,247.5,8.25,29.4125,996.9,0.8125,0.02
1363,0.0,26.72,24.86,92.57333333333334,250.0,5.333333333333333,29.543333333333333,1001.2,6.916666666666667,0.02
1372,0.01,28.58,26.72,92.63666666666666,270.0,6.333333333333333,29.5,999.6,1.1666666666666667,0.02
1373,0.02,28.58,27.320000000000004,95.01666666666668,266.6666666666667,7.0,29.49,999.4,1.25,0.02
1374,0.02,28.805,27.86,96.2725,270.0,7.0,29.485,999.1,1.0,0.02
1384,0.01,33.98,32.0,92.36,310.0,5.0,29.5,999.4,1.5,0.02
1385,0.02,33.08,32.0,95.75,300.0,4.0,29.51,999.9,1.0,0.03
1718,0.0,39.92,33.98,79.12,70.0,16.0,29.78,1008.6,8.0,0.03
1722,0.01,39.02,35.06,85.55,50.0,13.0,29.76,1008.1,10.0,0.09
1723,0.09,37.22,33.89,87.63,60.0,14.0,29.75,1007.7,7.5,0.09
1724,0.09,37.22,34.43,89.57499999999999,50.0,17.5,29.71,1006.3,10.0,0.06
1725,0.06,37.04,33.98,88.57,60.0,19.0,29.71,1006.3,10.0,0.05
1726,0.05,37.04,35.06,92.46,60.0,19.0,29.68,1005.6,10.0,0.02
1727,0.02,37.04,33.98,88.57,60.0,16.0,29.69,1005.7,10.0,0.03
1728,0.03,37.67,35.33,91.195,60.0,15.5,29.68,1005.6,10.0,0.04
1731,0.05,36.68,34.79,92.785,60.0,16.5,29.68,1005.3,10.0,0.04
1732,0.04,35.96,33.98,92.43,50.0,17.0,29.67,1005.2,10.0,0.07
1733,0.07,35.33,33.44,92.74,50.0,16.0,29.67,1005.2,10.0,0.03
1735,0.01,35.06,33.08,92.4,50.0,18.0,29.67,1005.3,4.0,0.02
1755,0.01,37.04,33.98,88.57,40.0,15.0,29.82,1010.2,8.0,0.03
1929,0.0,39.02,35.06,85.55,50.0,9.0,30.02,1016.9,10.0,0.02
1930,0.02,37.67,35.33,91.195,40.0,10.0,30.01,1016.6,8.5,0.04
1932,0.0,37.94,35.96,92.49,50.0,12.0,29.97,1015.2,6.0,0.03
1934,0.01,37.94,35.96,92.49,60.0,9.0,29.91,1013.5,5.0,0.06
1935,0.06,37.04,35.96,95.82,50.0,13.0,29.89,1012.8,6.0,0.04
1936,0.04,37.31,35.69,93.81,47.5,13.25,29.8725,1012.0,2.625,0.08
1941,0.0,37.67,37.22,98.26,50.0,11.0,29.8,1009.4,2.75,0.07
1942,0.07,37.67,37.22,98.26,45.0,11.0,29.770000000000003,1008.8,2.75,0.07
1943,0.07,37.94,37.04,96.52,50.0,13.0,29.74,1007.5,5.0,0.07
1946,0.0,38.57,37.22,94.855,40.0,12.0,29.68,1005.2,7.5,0.03
1948,0.01,37.94,37.04,96.52,50.0,11.0,29.64,1004.1,6.0,0.07
1949,0.07,37.04,35.96,95.82,40.0,17.0,29.62,1003.4,6.0,0.06
1950,0.06,37.04,35.96,95.82,30.0,20.0,29.61,1003.3,10.0,0.02
1956,0.0,37.58,35.72,92.92333333333332,30.0,15.333333333333334,29.616666666666664,1003.2,3.333333333333333,0.02
1957,0.02,37.22,35.78,94.48,30.0,14.5,29.625,1003.8,2.25,0.03
1964,0.01,37.04,35.96,95.82,340.0,6.0,29.76,1008.0,6.0,0.04
1965,0.04,37.04,35.06,92.46,320.0,11.0,29.77,1008.6,8.0,0.02
1966,0.02,33.98,33.08,96.46,300.0,8.0,29.78,1009.1,5.0,0.02
2008,0.0,44.96,39.92,82.38,290.0,7.0,29.81,1009.9,10.0,0.03
2080,0.0,44.96,35.06,68.05,170.0,9.0,29.89,1012.6,9.0,0.04
2081,0.04,42.98,39.02,85.79,160.0,11.0,29.88,1012.4,5.0,0.1
2082,0.1,42.08,39.02,88.81,150.0,6.0,29.87,1011.9,4.0,0.1
2083,0.1,42.08,39.02,88.81,150.0,9.0,29.85,1011.2,6.0,0.05
2084,0.05,42.08,39.02,88.81,150.0,7.0,29.84,1010.8,6.0,0.04
2087,0.0,42.98,41.0,92.65,100.0,3.0,29.78,1008.6,10.0,0.02
2091,0.01,44.06,42.98,95.95,340.0,3.0,29.72,1006.7,8.0,0.02
2284,0.0,53.06,46.94,79.64,80.0,3.0,29.88,1011.8,10.0,0.04
2285,0.04,53.06,48.02,82.94,30.0,6.0,29.91,1012.8,9.0,0.02
2286,0.02,51.98,46.04,80.1,0.0,0.0,29.93,1013.3,7.0,0.07
2287,0.07,51.08,46.04,82.81,70.0,8.0,29.89,1012.4,7.0,0.07
2288,0.07,50.0,44.96,82.73,80.0,9.0,29.89,1012.2,4.0,0.04
2295,0.0,58.1,54.32,87.215,220.0,7.0,29.745,1007.4,7.5,0.22
2316,0.0,68.0,53.06,58.8,270.0,18.0,29.69,1005.3,10.0,0.02
2317,0.02,62.06,57.02,83.54,260.0,12.0,29.7,1005.7,10.0,0.03
2324,0.0,58.34,56.48,93.52,13.333333333333334,2.6666666666666665,29.736666666666665,1007.0,4.666666666666667,0.2
2330,0.0,55.04,55.04,100.0,90.0,5.0,29.7,1005.7,0.12,0.02
2531,0.01,62.96,53.06,70.07,280.0,9.0,29.78,1008.4,7.0,0.03
2532,0.03,66.92,53.96,63.08,250.0,16.0,29.73,1006.8,10.0,0.03
2535,0.0,64.04,53.96,69.72,270.0,16.0,29.66,1004.5,10.0,0.03
2573,0.0,37.94,37.04,96.52,270.0,9.0,29.89,1012.7,3.0,0.02
2574,0.02,39.11,37.67,94.525,280.0,6.5,29.905,1013.3,2.0,0.03
2742,0.0,48.92,44.06,83.23,110.0,10.0,29.64,1003.8,9.0,0.03
2746,0.0,50.0,46.94,89.17,100.0,8.0,29.61,1002.8,10.0,0.04
2747,0.04,50.0,47.57,91.335,85.0,9.0,29.6,1002.4,8.0,0.08
2748,0.08,50.0,47.54,91.24666666666668,90.0,9.0,29.59,1001.9,7.0,0.1
2749,0.1,49.46,48.11,95.095,65.0,9.5,29.57,1001.1,5.5,0.04
2752,0.0,50.0,48.11,93.185,70.0,7.5,29.51,999.4,9.0,0.02
2753,0.02,51.08,48.92,92.28,80.0,7.0,29.51,999.2,8.0,0.04
2755,0.01,50.0,46.04,86.19,90.0,5.0,29.5,999.3,6.0,0.13
2756,0.13,49.46,44.33,82.42,75.0,7.5,29.5,999.1,5.0,0.04
2790,0.0,35.78,33.44,91.12,10.0,16.0,29.51,999.6,5.5,0.04
2935,0.0,70.43,63.32000000000001,78.195,245.0,9.5,29.565,1000.9,10.0,0.06
2961,0.0,62.06,51.08,67.24,260.0,11.0,29.79,1008.7,10.0,0.12
2995,0.0,77.0,39.02,25.49,220.0,6.0,29.66,1004.3,10.0,0.08
2996,0.08,65.05999999999999,53.84,71.91666666666667,193.3333333333333,5.0,29.71333333333333,1006.0,6.666666666666667,0.1
2997,0.1,60.44,58.1,92.07,210.0,5.0,29.745,1006.9,7.5,0.03
2998,0.03,60.44,59.0,95.005,190.0,5.5,29.715,1005.7,9.0,0.03
2999,0.03,60.98,59.0,93.19,200.0,7.0,29.68,1004.9,5.0,0.41
3000,0.41,59.84,57.32,91.40333333333336,273.3333333333333,9.0,29.703333333333333,1005.3,4.833333333333333,0.08
3001,0.08,53.72,50.6,89.19,260.0,6.666666666666667,29.71,1005.6,9.333333333333334,0.03
3045,0.0,50.0,28.04,42.39,80.0,14.0,29.67,1004.9,10.0,0.09
3046,0.09,45.68,39.74,80.12,55.0,17.5,29.685,1006.0,7.5,0.25
3047,0.25,44.42,42.85999999999999,94.21666666666664,56.66666666666666,17.0,29.656666666666663,1004.6,2.833333333333333,0.15
3070,0.0,35.96,30.92,81.72,290.0,17.0,29.85,1011.1,10.0,0.02
3072,0.01,33.62,30.83,89.41749999999999,297.5,14.0,29.8925,1012.9,2.875,0.02
3139,0.0,46.94,37.94,70.74,130.0,10.0,30.18,1022.5,10.0,0.04
3140,0.04,44.96,41.0,85.9,110.0,8.0,30.17,1022.1,9.0,0.04
3141,0.04,44.06,41.0,88.9,110.0,13.0,30.16,1021.7,7.0,0.03
3142,0.03,44.06,41.0,88.9,110.0,12.0,30.14,1020.9,9.0,0.02
3143,0.02,42.85999999999999,40.04,89.71333333333332,120.0,12.0,30.12,1019.9,9.0,0.02
3144,0.02,42.98,39.92,88.85,100.0,11.0,30.1,1019.4,8.0,0.03
3146,0.0,42.08,39.92,91.98,100.0,11.0,30.06,1018.1,8.0,0.02
3147,0.02,42.44,39.56,89.485,100.0,10.5,30.06,1018.2,5.0,0.02
3187,0.0,57.02,42.98,59.31,80.0,7.0,30.04,1017.4,10.0,0.06
3188,0.06,53.06,46.94,79.64,110.0,8.0,29.99,1015.7,10.0,0.1
3189,0.1,53.33,50.0,88.435,125.0,6.0,29.97,1014.9,4.0,0.25
3190,0.25,52.565,51.61999999999999,96.64,117.5,6.0,30.0025,1016.3,6.5,0.05
3300,0.0,55.94,44.96,66.52,160.0,11.0,30.06,1018.1,10.0,0.04
3301,0.04,53.06,48.92,85.78,170.0,5.0,30.07,1018.5,6.0,0.08
3302,0.08,53.06,48.92,85.78,170.0,4.0,30.07,1018.3,7.0,0.06
3303,0.06,53.78,50.0,86.985,0.0,1.5,30.05,1017.6,6.5,0.02
3304,0.02,53.96,48.92,83.0,0.0,0.0,30.03,1017.1,10.0,0.02
3407,0.0,66.02,57.02,72.72,200.0,5.0,30.1,1019.1,10.0,0.02
3624,0.0,69.98,64.04,81.44,220.0,10.0,29.83,1009.7,9.0,0.08
3628,0.01,67.1,66.11,96.69,110.0,1.5,29.77,1007.6,4.5,0.02
3629,0.02,66.92,66.02,96.93,0.0,0.0,29.76,1007.5,2.5,0.08
3630,0.08,66.38000000000001,66.155,99.2325,135.0,2.5,29.7675,1007.7,2.125,0.24
3668,0.0,73.94,57.02,55.49,90.0,7.0,29.6,1001.9,10.0,0.1
3669,0.1,68.17999999999999,59.045,73.12,175.0,7.75,29.6225,1002.8,2.75,0.09
3690,0.0,69.08,57.92,67.59,30.0,5.0,29.72,1006.3,10.0,0.06
3718,0.01,66.92,60.08,78.66,120.0,3.0,29.73,1006.6,8.0,0.03
3719,0.03,66.02,60.98,83.79,0.0,0.0,29.71,1005.7,10.0,0.05
3720,0.05,64.67,62.78,93.59,0.0,0.0,29.7,1005.5,8.5,0.15
3721,0.15,64.28000000000002,63.080000000000005,95.92,136.66666666666666,2.6666666666666665,29.703333333333333,1005.1,3.1666666666666665,0.11
3722,0.11,64.83200000000001,62.888,93.416,212.0,9.2,29.666000000000004,1004.5,10.0,0.29
3746,0.01,59.0,55.94,89.57,60.0,8.0,29.62,1002.7,10.0,0.15
3747,0.15,57.92,55.94,93.1,90.0,13.0,29.55,1000.2,10.0,0.41
3748,0.41,57.02,55.94,96.17,110.0,10.0,29.52,999.3,7.0,0.23
3749,0.23,57.14000000000001,55.580000000000005,94.51666666666668,53.333333333333336,12.333333333333334,29.47666666666667,997.5,5.333333333333333,0.16
3750,0.16,57.02,55.94,96.17,80.0,12.0,29.38,994.5,4.0,0.59
3751,0.59,57.11,55.67,94.93,50.0,10.5,29.365,994.6,1.75,0.05
3753,0.01,57.56,57.11,98.405,35.0,12.5,29.37,994.8,3.0,0.07
3826,0.0,55.94,50.0,80.4,150.0,9.0,29.94,1013.9,8.0,0.02
3827,0.02,54.92,51.56,88.41666666666667,120.0,9.0,29.93,1013.5,1.75,0.09
3828,0.09,53.72,51.85999999999999,93.39666666666666,126.66666666666669,11.666666666666666,29.883333333333336,1011.7,4.333333333333333,0.05
3907,0.0,64.22,60.89,88.935,30.0,6.5,29.93,1013.2,10.0,0.06
3908,0.06,63.68000000000001,61.43,92.485,20.0,5.5,29.935,1013.8,6.0,0.02
3990,0.0,64.04,53.96,69.72,130.0,7.0,29.94,1013.7,10.0,0.02
3991,0.02,64.22,57.56,78.97,60.0,2.5,29.945,1014.0,5.5,0.62
3992,0.62,62.35999999999999,61.01,95.42333333333332,96.66666666666669,3.8333333333333335,29.951666666666668,1013.7,2.2916666666666665,0.03
3995,0.0,78.08,69.08,73.88,200.0,14.0,29.83,1009.8,10.0,0.27
4137,0.0,73.94,62.96,68.57,180.0,6.0,30.03,1016.5,10.0,0.12
4138,0.12,69.56,64.94,85.31333333333333,210.0,5.0,30.03,1017.0,4.0,0.02
4142,0.0,77.0,69.98,78.96,130.0,6.0,29.92,1012.9,10.0,0.1
4143,0.1,73.88000000000001,68.96,84.75333333333334,206.66666666666663,8.666666666666666,29.92,1012.8,2.4166666666666665,0.13
4144,0.13,72.86,71.01499999999999,93.945,222.5,5.75,29.9075,1012.6,2.625,0.14
4147,0.0,75.02,69.08,81.79,250.0,9.0,29.9,1012.3,10.0,0.04
