Source,Normalization,Layers,Random State,Accuracy,Process Runtime
ROC+BUF+SYR+ALB,MinMax,2,None,0.9469923,63.8125
ROC+BUF+SYR+ALB,MinMax,2,0,0.9468188,63.21875
ROC+BUF+SYR+ALB,MinMax,2,42,0.9462638,63.171875
ROC+BUF+SYR+ALB,MinMax,3,None,0.9480677,63.515625
ROC+BUF+SYR+ALB,MinMax,3,0,0.9468188,68.328125
ROC+BUF+SYR+ALB,MinMax,3,42,0.9462638,64.328125
ROC+BUF+SYR+ALB,MinMax,4,None,0.94765145,65.171875
ROC+BUF+SYR+ALB,MinMax,4,0,0.9468188,64.859375
ROC+BUF+SYR+ALB,MinMax,4,42,0.9462638,65.703125
ROC+BUF+SYR+ALB,MinMax,5,None,0.9456047,66.6875
ROC+BUF+SYR+ALB,MinMax,5,0,0.9468188,64.984375
ROC+BUF+SYR+ALB,MinMax,5,42,0.9462638,64.96875
ROC+BUF+SYR+ALB,None,2,None,0.91632557,62.1875
ROC+BUF+SYR+ALB,None,2,0,0.9394991,63.046875
ROC+BUF+SYR+ALB,None,2,42,0.92062724,62.234375
ROC+BUF+SYR+ALB,None,3,None,0.9445639,64.03125
ROC+BUF+SYR+ALB,None,3,0,0.9421356,63.515625
ROC+BUF+SYR+ALB,None,3,42,0.93120795,63.84375
ROC+BUF+SYR+ALB,None,4,None,0.9459169,64.53125
ROC+BUF+SYR+ALB,None,4,0,0.94609034,63.5
ROC+BUF+SYR+ALB,None,4,42,0.94293344,64.859375
ROC+BUF+SYR+ALB,None,5,None,0.9351627,66.125
ROC+BUF+SYR+ALB,None,5,0,0.9369666,66.78125
ROC+BUF+SYR+ALB,None,5,42,0.9438701,65.5625
ROC+BUF+SYR+ALB,ZScore,2,None,0.95285505,63.6875
ROC+BUF+SYR+ALB,ZScore,2,0,0.951398,63.59375
ROC+BUF+SYR+ALB,ZScore,2,42,0.9506695,63.390625
ROC+BUF+SYR+ALB,ZScore,3,None,0.94827586,63.53125
ROC+BUF+SYR+ALB,ZScore,3,0,0.9523694,64.078125
ROC+BUF+SYR+ALB,ZScore,3,42,0.9519531,64.296875
ROC+BUF+SYR+ALB,ZScore,4,None,0.9590994,66.0
ROC+BUF+SYR+ALB,ZScore,4,0,0.9491431,64.671875
ROC+BUF+SYR+ALB,ZScore,4,42,0.95257753,65.015625
ROC+BUF+SYR+ALB,ZScore,5,None,0.95788527,66.296875
ROC+BUF+SYR+ALB,ZScore,5,0,0.94896966,65.421875
ROC+BUF+SYR+ALB,ZScore,5,42,0.9462638,66.28125
ROC,MinMax,2,None,0.94702697,27.984375
ROC,MinMax,2,0,0.9468188,29.203125
ROC,MinMax,2,42,0.9462638,28.65625
ROC,MinMax,3,None,0.9462291,28.765625
ROC,MinMax,3,0,0.9468188,29.03125
ROC,MinMax,3,42,0.9462638,29.578125
ROC,MinMax,4,None,0.9477902,30.0
ROC,MinMax,4,0,0.9468188,32.90625
ROC,MinMax,4,42,0.9462638,30.640625
ROC,MinMax,5,None,0.94668007,31.046875
ROC,MinMax,5,0,0.9468188,30.1875
ROC,MinMax,5,42,0.9462638,30.390625
ROC,None,2,None,0.91008115,28.03125
ROC,None,2,0,0.93224865,28.265625
ROC,None,2,42,0.9129605,27.90625
ROC,None,3,None,0.89745367,28.734375
ROC,None,3,0,0.94515365,29.21875
ROC,None,3,42,0.9462985,28.671875
ROC,None,4,None,0.943662,29.921875
ROC,None,4,0,0.9275654,30.21875
ROC,None,4,42,0.94557,30.625
ROC,None,5,None,0.94837993,30.65625
ROC,None,5,0,0.9452578,30.40625
ROC,None,5,42,0.9215292,30.6875
ROC,ZScore,2,None,0.4073059,28.140625
ROC,ZScore,2,0,0.9478943,27.390625
ROC,ZScore,2,42,0.9115035,27.703125
ROC,ZScore,3,None,0.70009714,29.21875
ROC,ZScore,3,0,0.94380075,29.0
ROC,ZScore,3,42,0.94702697,29.5
ROC,ZScore,4,None,0.95635885,30.0
ROC,ZScore,4,0,0.9542427,29.53125
ROC,ZScore,4,42,0.9462638,29.8125
ROC,ZScore,5,None,0.95857906,30.71875
ROC,ZScore,5,0,0.9543121,30.765625
ROC,ZScore,5,42,0.90067995,30.390625
