Source,Normalization,NNeighbors,Accuracy,Process Runtime
ROC+BUF+SYR+ALB,ZScore,1,0.9532713522514397,378.5
ROC+BUF+SYR+ALB,ZScore,2,0.9593075695552626,425.171875
ROC+BUF+SYR+ALB,ZScore,3,0.9614584056060501,452.828125
ROC+BUF+SYR+ALB,ZScore,4,0.9622909873031291,469.78125
ROC+BUF+SYR+ALB,ZScore,5,0.9629501144799834,484.96875
ROC+BUF+SYR+ALB,ZScore,6,0.9622216054950392,491.21875
ROC+BUF+SYR+ALB,ZScore,7,0.9627766599597586,498.390625
ROC+BUF+SYR+ALB,ZScore,8,0.9621522236869493,504.328125
ROC+BUF+SYR+ALB,ZScore,9,0.963192950808298,518.796875
ROC+BUF+SYR+ALB,ZScore,10,0.9622216054950392,515.53125
ROC+BUF+SYR+ALB,ZScore,11,0.9634010962325679,553.171875
ROC+BUF+SYR+ALB,ZScore,12,0.9621175327829043,524.5625
ROC+BUF+SYR+ALB,ZScore,13,0.9630194962880733,526.65625
ROC+BUF+SYR+ALB,ZScore,14,0.9622909873031291,533.953125
ROC+BUF+SYR+ALB,ZScore,15,0.9624297509193089,537.828125
ROC+BUF+SYR+ALB,ZScore,16,0.9618053146464997,537.640625
ROC+BUF+SYR+ALB,ZScore,17,0.9624644418233539,574.140625
ROC+BUF+SYR+ALB,ZScore,18,0.96152778741414,564.90625
ROC+BUF+SYR+ALB,ZScore,19,0.9620828418788594,559.328125
ROC+BUF+SYR+ALB,ZScore,20,0.9615971692222299,582.84375
ROC+BUF+SYR+ALB,ZScore,21,0.9617359328384097,554.96875
ROC+BUF+SYR+ALB,ZScore,22,0.9617359328384097,574.8125
ROC+BUF+SYR+ALB,ZScore,23,0.9621869145909943,576.21875
ROC+BUF+SYR+ALB,ZScore,24,0.96152778741414,559.109375
ROC+BUF+SYR+ALB,ZScore,25,0.9619440782626796,562.609375
