Source,Normalization,Random State,Best N_Neighbors,Accuracy
ROC+BUF+SYR+ALB,MinMax,None,11,0.9539651703323389
ROC+BUF+SYR+ALB,MinMax,0,13,0.95299382501908
ROC+BUF+SYR+ALB,MinMax,42,13,0.9515714979532367
ROC+BUF+SYR+ALB,None,None,2,0.9491084437660445
ROC+BUF+SYR+ALB,None,0,6,0.94872684382155
ROC+BUF+SYR+ALB,None,42,4,0.9475473530840214
ROC+BUF+SYR+ALB,ZScore,None,11,0.9634010962325679
ROC+BUF+SYR+ALB,ZScore,0,9,0.9609033511413307
ROC+BUF+SYR+ALB,ZScore,42,5,0.959793242211892
ROC,MinMax,None,11,0.9570179698882952
ROC,MinMax,0,11,0.9551099701658226
ROC,MinMax,42,9,0.9557690973426768
ROC,None,None,8,0.9483452438770554
ROC,None,0,2,0.949628807326719
ROC,None,42,2,0.9494900437105391
ROC,ZScore,None,13,0.9600707694442517
ROC,ZScore,0,17,0.9591688059390828
ROC,ZScore,42,25,0.9602442239644765
