Source,Normalization,Reservoir Size,Random State,Process Runtime,Accuracy
ROC+BUF+SYR+ALB,ZScore,50,None,13.976105,0.8372649691250954
ROC+BUF+SYR+ALB,ZScore,50,0,13.598703999999998,0.6338721987094984
ROC+BUF+SYR+ALB,ZScore,50,42,13.516018000000003,0.7240685492263929
ROC+BUF+SYR+ALB,ZScore,100,None,18.034509999999997,0.8479150766668979
ROC+BUF+SYR+ALB,ZScore,100,0,17.360418000000003,0.9052938319572608
ROC+BUF+SYR+ALB,ZScore,100,42,17.859317000000004,0.46551724137931033
ROC+BUF+SYR+ALB,ZScore,200,None,26.040049999999994,0.9066814681190591
ROC+BUF+SYR+ALB,ZScore,200,0,25.499351000000004,0.8778533268576979
ROC+BUF+SYR+ALB,ZScore,200,42,25.665632000000016,0.7520641087906751
ROC+BUF+SYR+ALB,None,50,None,13.362320000000011,0.9484493165891903
ROC+BUF+SYR+ALB,None,50,0,13.312011999999982,0.9466453895788525
ROC+BUF+SYR+ALB,None,50,42,13.408489000000003,0.9462637896343579
ROC+BUF+SYR+ALB,None,100,None,17.522826999999978,0.9474085894678416
ROC+BUF+SYR+ALB,None,100,0,17.21620999999999,0.9465413168667175
ROC+BUF+SYR+ALB,None,100,42,17.258959000000033,0.946194407826268
ROC+BUF+SYR+ALB,None,200,None,24.860149999999976,0.9475820439880663
ROC+BUF+SYR+ALB,None,200,0,24.689472000000023,0.9460209533060432
ROC+BUF+SYR+ALB,None,200,42,24.67637400000001,0.9457434260736834
ROC+BUF+SYR+ALB,MinMax,50,None,13.847936000000004,0.9505307708318879
ROC+BUF+SYR+ALB,MinMax,50,0,13.668784000000016,0.9481024075487408
ROC+BUF+SYR+ALB,MinMax,50,42,13.673307000000023,0.949594116422674
ROC+BUF+SYR+ALB,MinMax,100,None,17.629263999999978,0.9539304794282939
ROC+BUF+SYR+ALB,MinMax,100,0,17.63845600000002,0.9536529521959343
ROC+BUF+SYR+ALB,MinMax,100,42,17.599559999999997,0.9528550614029001
ROC+BUF+SYR+ALB,MinMax,200,None,25.963130999999976,0.9537223340040242
ROC+BUF+SYR+ALB,MinMax,200,0,25.660800999999992,0.953028515923125
ROC+BUF+SYR+ALB,MinMax,200,42,25.87322800000004,0.9527509886907652
ROC,ZScore,50,None,13.296436999999969,0.8971414695066954
ROC,ZScore,50,0,13.242601000000036,0.9083466315132173
ROC,ZScore,50,42,13.346953999999982,0.9121626309581627
ROC,ZScore,100,None,17.46147899999994,0.940990772219524
ROC,ZScore,100,0,17.383017999999993,0.9092832859224311
ROC,ZScore,100,42,17.170838000000003,0.8952681606882675
ROC,ZScore,200,None,24.86811399999999,0.9479289530285159
ROC,ZScore,200,0,25.291200000000003,0.9528203704988552
ROC,ZScore,200,42,25.011843999999996,0.9514674252411018
ROC,None,50,None,13.416105000000016,0.9467147713869424
ROC,None,50,0,13.090812000000028,0.9467494622909873
ROC,None,50,42,13.252800999999977,0.946194407826268
ROC,None,100,None,16.897965,0.9466106986748075
ROC,None,100,0,16.735529999999926,0.9466453895788525
ROC,None,100,42,17.09076200000004,0.9459515714979533
ROC,None,200,None,24.987455000000068,0.9472351349476167
ROC,None,200,0,25.173809000000006,0.9462984805384028
ROC,None,200,42,25.295098999999936,0.9458128078817734
ROC,MinMax,50,None,13.40805899999998,0.9493512800943592
ROC,MinMax,50,0,13.336952999999994,0.9491431346700895
ROC,MinMax,50,42,13.284616999999912,0.9491084437660445
ROC,MinMax,100,None,17.30278499999997,0.9522653160341359
