,Model,Normalization,R^2,MSE,RMSE,Pearson Corr
2,KNN,ZScore,0.2095615020650414,0.0068068838779425,0.0825038415950584,0.4644316313008674
7,Linear,None,0.1783240105995689,0.0069132068443608,0.0831456964873155,0.4226659206084167
0,KNN,MinMax,0.1683536529210896,0.0053467757574086,0.0731216504012912,0.4182299289018925
21,WNN,MinMax,0.1216935711768798,0.0072437950223976,0.0851104871469884,0.4108757466479319
3,SVR,MinMax,0.0123897040317205,0.0092461567486031,0.096156938119946,0.4064794194628096
8,Linear,ZScore,0.1464423998965381,0.0070256581164295,0.0838191989727267,0.3880196436553028
5,SVR,ZScore,0.051143241167021,0.0089456603101053,0.0945815008873581,0.3801769740331185
6,Linear,MinMax,0.1427861179707239,0.0082093456506116,0.0906054394096274,0.3785757011228571
23,WNN,ZScore,0.1329452854507855,0.0082807710903159,0.0909987422457912,0.368640035933451
1,KNN,None,0.1230667584774877,0.0061635143842774,0.0785080529899798,0.3540163853727232
11,Bidirectional,ZScore,0.0495882695311982,0.0067715064877514,0.0822891638537628,0.3473280048088548
17,LSTM,ZScore,0.0886534630756482,0.0065268118390712,0.0807886863308921,0.3249969755595108
14,GRU,ZScore,0.088519946395589,0.0064941255442983,0.0805861374201443,0.323445284654161
9,Bidirectional,MinMax,0.0929277203541176,0.0064962007906083,0.0805990123426354,0.3206026463124015
15,LSTM,MinMax,0.0939232383642609,0.006489071165958,0.0805547712178367,0.3197814711093897
16,LSTM,None,0.0994389920308097,0.0064238823683495,0.0801491258115118,0.3188259998399277
10,Bidirectional,None,0.0851190018367807,0.0065521246729099,0.0809451954899727,0.3144501840731536
4,SVR,None,-0.0927430438657188,0.0105997758653727,0.1029552129101425,0.3074224208962334
24,DWNN,MinMax,0.0747299500753402,0.0047461956281513,0.0688926384176953,0.3043464611017717
12,GRU,MinMax,0.0791441276664484,0.0065686497080462,0.0810472066640562,0.3014063763224867
13,GRU,None,0.0742593236730094,0.0066227124995745,0.0813800497638984,0.2960851821056191
26,DWNN,ZScore,-0.1229894105348119,0.0108994464857345,0.1044004142028879,0.2680701815827794
18,DNN,MinMax,0.0389449691182075,0.0052965502132392,0.0727774018033022,0.2672283339919884
25,DWNN,None,-2.167462424650424,0.0318404703934886,0.1784389822698187,0.2654765557553503
22,WNN,None,0.0095136882231245,0.0083334998687476,0.0912880050650009,0.2173924574514918
20,DNN,ZScore,-0.2404933246036853,0.0106877605253619,0.103381625666082,0.2129305521867202
19,DNN,None,-34.52316209585863,0.3034032745840567,0.5508205466248121,0.1985614172347612
