Source,Normalization,Layers,Random State,R^2,MSE,RMSE,Pearson Corr,Runtime
ROC+BUF+SYR+ALB,MinMax,2,None,-0.12236554845447967,0.009238224373076072,0.09611568224320145,0.12879189138943667,18.078125
ROC+BUF+SYR+ALB,MinMax,2,0,-0.08111708122388106,0.01086777735663368,0.10424863239694648,0.12175456817894206,16.578125
ROC+BUF+SYR+ALB,MinMax,2,42,-0.5493555480530079,0.01822671334589925,0.1350063455764182,-0.16004205317102466,15.9375
ROC+BUF+SYR+ALB,MinMax,3,None,0.009811023986744383,0.008706070307186401,0.09330632511885999,0.2672283339919884,16.9375
ROC+BUF+SYR+ALB,MinMax,3,0,-0.024563614545225265,0.010299281589354099,0.10148537623398801,0.0639522293402518,16.953125
ROC+BUF+SYR+ALB,MinMax,3,42,-0.08379177148711059,0.012749792628531036,0.11291497964632964,-0.13572830362142096,17.6875
ROC+BUF+SYR+ALB,MinMax,4,None,-0.10170476718267518,0.011415608644567702,0.10684385169286861,0.04298454479789285,18.3125
ROC+BUF+SYR+ALB,MinMax,4,0,0.0027073667767602005,0.010025143886369384,0.10012564050416549,0.09611373738286486,18.234375
ROC+BUF+SYR+ALB,MinMax,4,42,0.004605687083825916,0.011709879524077274,0.10821219674360776,0.15050282243859908,17.890625
ROC+BUF+SYR+ALB,MinMax,5,None,0.03894496911820755,0.010208254887171966,0.10103590889961829,0.21902792835865584,18.8125
ROC+BUF+SYR+ALB,MinMax,5,0,-0.014228549013006075,0.010195389797131903,0.10097222289883442,0.062055880563014636,18.75
ROC+BUF+SYR+ALB,MinMax,5,42,0.0019070478439666694,0.011741626481004444,0.1083587858966888,0.08377195595751286,18.84375
ROC+BUF+SYR+ALB,None,2,None,-25072.15564532758,210.95409072800555,14.524258698054284,-0.04242781243236491,16.15625
ROC+BUF+SYR+ALB,None,2,0,-46662.63224092194,469.07959799513594,21.658245496695617,0.09422502721317465,15.984375
ROC+BUF+SYR+ALB,None,2,42,-22970.800992127566,270.2416706408748,16.439028883753288,-0.020234250983921717,16.46875
ROC+BUF+SYR+ALB,None,3,None,-6095.638958865528,56.29738877383852,7.503158586477999,-0.0872091281964223,17.0
ROC+BUF+SYR+ALB,None,3,0,-916.6556243984203,9.22460405928919,3.037203328604983,0.022832901739585326,17.140625
ROC+BUF+SYR+ALB,None,3,42,-1233.3507622839363,14.520977796680533,3.810640077031749,0.053543241722756776,16.921875
ROC+BUF+SYR+ALB,None,4,None,-172.79008901095932,1.9004094841438668,1.3785534027174524,-0.01569604345630769,18.0
ROC+BUF+SYR+ALB,None,4,0,-248.80530997478382,2.5111327334107845,1.5846553989466556,0.018211724108613568,18.5
ROC+BUF+SYR+ALB,None,4,42,-554.9129240900337,6.5397936099319605,2.557302017739,-0.023479736764409474,24.28125
ROC+BUF+SYR+ALB,None,5,None,-300.22007330954233,2.5510859804980233,1.5972119397556555,0.07413505461350929,23.9375
ROC+BUF+SYR+ALB,None,5,0,-99.87732386444812,1.0140551057159959,1.0070030316319787,0.08402565655227454,22.875
ROC+BUF+SYR+ALB,None,5,42,-228.53375992190863,2.7002491781569757,1.6432434932647613,0.030923905305112978,21.4375
ROC+BUF+SYR+ALB,ZScore,2,None,-3.2348105579496123,0.055084253016294646,0.23470034728626765,0.06045086930086944,19.828125
ROC+BUF+SYR+ALB,ZScore,2,0,-6.905122802683022,0.07946513480219113,0.281895609760406,0.06723834306028136,20.640625
ROC+BUF+SYR+ALB,ZScore,2,42,-3.2667224300154825,0.05019398339918694,0.22404013791994268,0.14613586887086935,21.046875
