Source,Normalization,Random State,Best N_Neighbors,R^2,MSE,RMSE,Pearson Corr
ROC+BUF+SYR+ALB,ZScore,None,42,0.20956150206504143,0.0068068838779425,0.08250384159505847,0.4644316313008674
ROC+BUF+SYR+ALB,ZScore,0,42,0.16898518132443374,0.008353659549255736,0.09139835638158783,0.41724182923941017
ROC+BUF+SYR+ALB,ZScore,42,37,0.179489525149507,0.009652535366205013,0.09824731734864323,0.44557101332544813
ROC+BUF+SYR+ALB,None,None,27,0.12306675847748771,0.00787598021266557,0.08874671944734391,0.3540163853727232
ROC+BUF+SYR+ALB,None,0,22,0.0819021738606085,0.009229049230076936,0.09606794069863753,0.28892906528083717
ROC+BUF+SYR+ALB,None,42,37,0.10438516812849452,0.0105360676117056,0.10264534870955236,0.33630042958560796
ROC+BUF+SYR+ALB,MinMax,None,38,0.16490811437812147,0.007077090207958564,0.08412544328536144,0.41822992890189253
ROC+BUF+SYR+ALB,MinMax,0,21,0.1202762064776246,0.008843299666037288,0.09403881999492171,0.3483879921830167
ROC+BUF+SYR+ALB,MinMax,42,4,0.15232159095567177,0.009972140604249669,0.09986060586762764,0.3966093968523803
ROC,ZScore,None,47,0.1370497779905484,0.008733970350678168,0.09345571331212538,0.3705237605900823
ROC,ZScore,0,91,0.12661826994458159,0.008779546965300655,0.09369923673809011,0.36096821862680445
ROC,ZScore,42,44,0.13676254092248552,0.010155178219628374,0.10077290419367883,0.37614196679379835
ROC,None,None,65,0.10608659658787034,0.006163514384277486,0.07850805298997986,0.3265744490679665
ROC,None,0,29,0.09835538469317173,0.009063655642984936,0.09520323336412968,0.3169148231473174
ROC,None,42,41,0.1024949510522376,0.010558304240898786,0.10275360938136814,0.3292656467404389
ROC,MinMax,None,51,0.1683536529210896,0.005346775757408658,0.07312165040129126,0.4110624734548686
ROC,MinMax,0,35,0.11260980678804922,0.008920365070330921,0.09444768430369757,0.339721714449782
ROC,MinMax,42,57,0.12504933796938666,0.010292973054943455,0.10145429047084926,0.37207811264509205
