Source,Normalization,Random State,R^2,MSE,RMSE,Pearson Corr,Runtime
ROC+BUF+SYR+ALB,ZScore,None,0.14644239989653818,0.007025658116429551,0.08381919897272672,0.3880196436553028,0.12302799999999992
ROC+BUF+SYR+ALB,ZScore,0,0.12009108471536234,0.008845160576507647,0.09404871384823743,0.36244938960451184,0.2738600000000002
ROC+BUF+SYR+ALB,ZScore,42,0.11565632190814212,0.010403473069879907,0.1019974169765093,0.35826863515121693,0.26241100000000017
ROC+BUF+SYR+ALB,None,None,0.07908809638840908,0.00809696328053247,0.08998312775477672,0.36470963516252464,0.2142839999999997
ROC+BUF+SYR+ALB,None,0,0.12009108471537411,0.008845160576507529,0.0940487138482368,0.36244938960448786,0.20049399999999995
ROC+BUF+SYR+ALB,None,42,0.11565632190801489,0.010403473069881404,0.10199741697651664,0.35826863515112417,0.1936600000000004
ROC+BUF+SYR+ALB,MinMax,None,0.1385021198594354,0.008926640730582138,0.09448090140648605,0.3757455955445774,0.2697409999999998
ROC+BUF+SYR+ALB,MinMax,0,0.1200910847110982,0.008845160576550512,0.09404871384846532,0.3624493896004111,0.2628309999999998
ROC+BUF+SYR+ALB,MinMax,42,0.11565632190653452,0.01040347306989882,0.101997416976602,0.35826863514961965,0.24606499999999976
ROC,ZScore,None,0.1433813583589998,0.009098939346845702,0.09538836064659934,0.3801592709486817,0.09569699999999992
ROC,ZScore,0,0.10460147491002314,0.009000867699842513,0.09487290287454322,0.33193614225977364,0.08124799999999999
ROC,ZScore,42,0.14278611797072938,0.010084316491141812,0.10042069752367692,0.3785757011228666,0.08305899999999955
ROC,None,None,0.17832401059956893,0.006913206844360801,0.08314569648731557,0.4226659206084167,0.06485299999999938
ROC,None,0,0.10460147491002403,0.009000867699842504,0.09487290287454318,0.3319361422597734,0.06449299999999969
ROC,None,42,0.1427861179707296,0.01008431649114181,0.10042069752367691,0.37857570112286676,0.06929500000000033
ROC,MinMax,None,0.11098156396961745,0.008209345650611663,0.09060543940962741,0.34065139763746005,0.07661599999999957
ROC,MinMax,0,0.104601474910065,0.009000867699842091,0.094872902874541,0.3319361422598297,0.0752429999999995
ROC,MinMax,42,0.14278611797072394,0.010084316491141877,0.10042069752367724,0.3785757011228571,0.07043100000000013
